




##########################################################################################
#CLERIC SPELL ACCESS FOR RAINBOW Servant##################################################
##########################################################################################
Arcane Cleric Spell 3 (Affliction)	KEY:Arcane Cleric Spell ~ Affliction	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level3	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=3|Affliction	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=3
Arcane Cleric Spell 5 (Symbol of Pain)	KEY:Arcane Cleric Spell ~ Symbol of Pain	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Symbol of Pain	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Symbol of Sleep)	KEY:Arcane Cleric Spell ~ Symbol of Sleep	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Symbol of Sleep	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Symbol of Spell Loss)	KEY:Arcane Cleric Spell ~ Symbol of Spell Loss	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Symbol of Spell Loss	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Telepathy Block)	KEY:Arcane Cleric Spell ~ Telepathy Block	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Telepathy Block	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Tree Healing)	KEY:Arcane Cleric Spell ~ Tree Healing	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Tree Healing	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Triadspell)	KEY:Arcane Cleric Spell ~ Triadspell	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Triadspell	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (True Seeing)	KEY:Arcane Cleric Spell ~ True Seeing	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|True Seeing	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Unhallow)	KEY:Arcane Cleric Spell ~ Unhallow	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Unhallow	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Vigor, Greater)	KEY:Arcane Cleric Spell ~ Vigor_ Greater	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Vigor (Greater)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Vulnerability)	KEY:Arcane Cleric Spell ~ Vulnerability	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Vulnerability	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Wall of Dispel Magic)	KEY:Arcane Cleric Spell ~ Wall of Dispel Magic	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Wall of Dispel Magic	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Wall of Limbs)	KEY:Arcane Cleric Spell ~ Wall of Limbs	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Wall of Limbs	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Wall of Magma)	KEY:Arcane Cleric Spell ~ Wall of Magma	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Wall of Magma	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Wall of Ooze)	KEY:Arcane Cleric Spell ~ Wall of Ooze	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Wall of Ooze	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Wall of Stone)	KEY:Arcane Cleric Spell ~ Wall of Stone	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Wall of Stone	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Warding Gems)	KEY:Arcane Cleric Spell ~ Warding Gems	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Warding Gems	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Zone of Peacebond)	KEY:Arcane Cleric Spell ~ Zone of Peacebond	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Zone of Peacebond	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Zone of Respite)	KEY:Arcane Cleric Spell ~ Zone of Respite	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Zone of Respite	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 5 (Zone of Revelation)	KEY:Arcane Cleric Spell ~ Zone of Revelation	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level5	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=5|Zone of Revelation	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=5
Arcane Cleric Spell 6 (Adept Spirit, Mass)	KEY:Arcane Cleric Spell ~ Adept Spirit_ Mass	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Adept Spirit (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Algid Enhancement)	KEY:Arcane Cleric Spell ~ Algid Enhancement	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Algid Enhancement	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Animate Objects)	KEY:Arcane Cleric Spell ~ Animate Objects	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Animate Objects	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Antilife Shell)	KEY:Arcane Cleric Spell ~ Antilife Shell	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Antilife Shell	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Awaken Undead)	KEY:Arcane Cleric Spell ~ Awaken Undead	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Awaken Undead	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Azuth's Exalted Triad)	KEY:Arcane Cleric Spell ~ Azuth's Exalted Triad	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Azuth's Exalted Triad	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Banishment)	KEY:Arcane Cleric Spell ~ Banishment	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Banishment	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Barghest's Feast)	KEY:Arcane Cleric Spell ~ Barghest's Feast	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Barghest's Feast	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Bear's Endurance (Mass))	KEY:Arcane Cleric Spell ~ Bear's Endurance (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Bear's Endurance (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Blade Barrier)	KEY:Arcane Cleric Spell ~ Blade Barrier	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Blade Barrier	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Bolt of Glory)	KEY:Arcane Cleric Spell ~ Bolt of Glory	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Bolt of Glory	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Bull's Strength (Mass))	KEY:Arcane Cleric Spell ~ Bull's Strength (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Bull's Strength (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Chasing Perfection)	KEY:Arcane Cleric Spell ~ Chasing Perfection	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Chasing Perfection	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Cloud of the Achaierai)	KEY:Arcane Cleric Spell ~ Cloud of the Achaierai	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Cloud of the Achaierai	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Cometfall)	KEY:Arcane Cleric Spell ~ Cometfall	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Cometfall	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Conjure Ice Beast VI)	KEY:Arcane Cleric Spell ~ Conjure Ice Beast VI	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Conjure Ice Beast VI	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Contingent Spell Lock)	KEY:Arcane Cleric Spell ~ Contingent Spell Lock	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Contingent Spell Lock	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Create Undead)	KEY:Arcane Cleric Spell ~ Create Undead	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Create Undead	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Crown of Brilliance)	KEY:Arcane Cleric Spell ~ Crown of Brilliance	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Crown of Brilliance	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Cure Moderate Wounds (Mass))	KEY:Arcane Cleric Spell ~ Cure Moderate Wounds (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Cure Moderate Wounds (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Desiccate (Mass))	KEY:Arcane Cleric Spell ~ Desiccate (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Desiccate (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Disjoin)	KEY:Arcane Cleric Spell ~ Disjoin	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Disjoin	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Eagle's Splendor (Mass))	KEY:Arcane Cleric Spell ~ Eagle's Splendor (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Eagle's Splendor (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Energy Immunity)	KEY:Arcane Cleric Spell ~ Energy Immunity	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Energy Immunity	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Fiendish Quickening)	KEY:Arcane Cleric Spell ~ Fiendish Quickening	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Fiendish Quickening	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Find the Path)	KEY:Arcane Cleric Spell ~ Find the Path	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Find the Path	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Forbiddance)	KEY:Arcane Cleric Spell ~ Forbiddance	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Forbiddance	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Frostburn, Mass)	KEY:Arcane Cleric Spell ~ Frostburn_ Mass	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Frostburn (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Geas/Quest)	KEY:Arcane Cleric Spell ~ Geas/Quest	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Geas/Quest	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Ghost Trap)	KEY:Arcane Cleric Spell ~ Ghost Trap	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Ghost Trap	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Glyph of Warding (Greater))	KEY:Arcane Cleric Spell ~ Glyph of Warding (Greater)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Glyph of Warding (Greater)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Harm)	KEY:Arcane Cleric Spell ~ Harm	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Harm	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Heal)	KEY:Arcane Cleric Spell ~ Heal	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Heal	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Heroes' Feast)	KEY:Arcane Cleric Spell ~ Heroes' Feast	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Heroes' Feast	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Hide the Path)	KEY:Arcane Cleric Spell ~ Hide the Path	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Hide the Path	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Ice Flowers)	KEY:Arcane Cleric Spell ~ Ice Flowers	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Ice Flowers	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Ice Rift)	KEY:Arcane Cleric Spell ~ Ice Rift	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Ice Rift	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Incarnum Vigor)	KEY:Arcane Cleric Spell ~ Incarnum Vigor	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Incarnum Vigor	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Inflict Moderate Wounds (Mass))	KEY:Arcane Cleric Spell ~ Inflict Moderate Wounds (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Inflict Moderate Wounds (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Light of Courage)	KEY:Arcane Cleric Spell ~ Light of Courage	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Light of Courage	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Make Manifest, Mass)	KEY:Arcane Cleric Spell ~ Make Manifest_ Mass	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Make Manifest (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Mummify)	KEY:Arcane Cleric Spell ~ Mummify	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Mummify	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Necrotic Eruption)	KEY:Arcane Cleric Spell ~ Necrotic Eruption	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Necrotic Eruption	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Opalescent Glare)	KEY:Arcane Cleric Spell ~ Opalescent Glare	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Opalescent Glare	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Owl's Wisdom (Mass))	KEY:Arcane Cleric Spell ~ Owl's Wisdom (Mass)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Owl's Wisdom (Mass)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Planar Ally)	KEY:Arcane Cleric Spell ~ Planar Ally	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Planar Ally	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Planar Exchange)	KEY:Arcane Cleric Spell ~ Planar Exchange	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Planar Exchange	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Quickshift)	KEY:Arcane Cleric Spell ~ Quickshift	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Quickshift	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Rejection)	KEY:Arcane Cleric Spell ~ Rejection	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Rejection	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Resistance, Superior)	KEY:Arcane Cleric Spell ~ Resistance (Superior)	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Resistance (Superior)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Revive Outsider)	KEY:Arcane Cleric Spell ~ Revive Outsider	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Revive Outsider	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Sarcophagus of Stone)	KEY:Arcane Cleric Spell ~ Sarcophagus of Stone	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Sarcophagus of Stone	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Secure Corpse)	KEY:Arcane Cleric Spell ~ Secure Corpse	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Secure Corpse	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Snare Astral Traveler)	KEY:Arcane Cleric Spell ~ Snare Astral Traveler	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Snare Astral Traveler	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Spellmantle)	KEY:Arcane Cleric Spell ~ Spellmantle	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Spellmantle	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Spider Plague)	KEY:Arcane Cleric Spell ~ Spider Plague	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Spider Plague	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Spirit Walk)	KEY:Arcane Cleric Spell ~ Spirit Walk	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Spirit Walk	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Spiritual Guardian)	KEY:Arcane Cleric Spell ~ Spiritual Guardian	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Spiritual Guardian	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Stone Body)	KEY:Arcane Cleric Spell ~ Stone Body	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Stone Body	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
Arcane Cleric Spell 6 (Stone Metamorphosis, Greater)	KEY:Arcane Cleric Spell ~ Stone Metamorphosis_ Greater	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level6	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=6|Stone Metamorphosis (Greater)	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=6
